score,grader,LLM
4,Autograder B,LLM A
5,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
5,Autograder B,LLM A
5,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
5,Autograder B,LLM A
4,Autograder B,LLM A
5,Autograder B,LLM A
4,Autograder B,LLM A
5,Autograder B,LLM A
4,Autograder B,LLM A
6,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
5,Autograder B,LLM A
5,Autograder B,LLM A
3,Autograder B,LLM A
4,Autograder B,LLM A
5,Autograder B,LLM A
4,Autograder B,LLM A
5,Autograder B,LLM A
5,Autograder B,LLM A
5,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
5,Autograder B,LLM A
3,Autograder B,LLM A
4,Autograder B,LLM A
5,Autograder B,LLM A
4,Autograder B,LLM A
3,Autograder B,LLM A
4,Autograder B,LLM A
5,Autograder B,LLM A
4,Autograder B,LLM A
3,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
3,Autograder B,LLM A
4,Autograder B,LLM A
5,Autograder B,LLM A
4,Autograder B,LLM A
3,Autograder B,LLM A
5,Autograder B,LLM A
6,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
3,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
3,Autograder B,LLM A
3,Autograder B,LLM A
4,Autograder B,LLM A
3,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
5,Autograder B,LLM A
3,Autograder B,LLM A
5,Autograder B,LLM A
6,Autograder B,LLM A
3,Autograder B,LLM A
5,Autograder B,LLM A
3,Autograder B,LLM A
4,Autograder B,LLM A
3,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
3,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
1,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
1,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
1,Autograder B,LLM B
4,Autograder B,LLM B
4,Autograder B,LLM B
1,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
4,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
4,Autograder B,LLM B
4,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
5,Autograder B,LLM B
4,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
4,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
5,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
4,Autograder B,LLM B
4,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
4,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
4,Autograder B,LLM B
4,Autograder B,LLM B
