score,grader,LLM
6,Human X,LLM B
6,Human X,LLM B
3,Human X,LLM B
6,Human X,LLM B
6,Human X,LLM B
5,Human X,LLM B
4,Human X,LLM B
6,Human X,LLM B
5,Human X,LLM B
5,Human X,LLM B
5,Human X,LLM B
5,Human X,LLM B
5,Human X,LLM B
6,Human X,LLM B
6,Human X,LLM B
5,Human X,LLM B
4,Human X,LLM B
4,Human X,LLM B
6,Human X,LLM B
6,Human X,LLM B
6,Human X,LLM B
4,Human X,LLM B
4,Human X,LLM B
5,Human X,LLM B
6,Human X,LLM B
6,Human X,LLM B
5,Human X,LLM B
6,Human X,LLM B
6,Human X,LLM B
6,Human X,LLM B
5,Human X,LLM B
3,Human X,LLM B
5,Human X,LLM B
6,Human X,LLM B
5,Human X,LLM B
5,Human X,LLM B
6,Human X,LLM B
4,Human X,LLM B
5,Human X,LLM B
4,Human X,LLM B
5,Human X,LLM B
5,Human X,LLM B
5,Human X,LLM B
5,Human X,LLM B
4,Human X,LLM B
5,Human X,LLM B
5,Human X,LLM B
4,Human X,LLM B
4,Human X,LLM B
5,Human X,LLM B
5,Human X,LLM B
5,Human X,LLM B
5,Human X,LLM B
6,Human X,LLM B
3,Human X,LLM B
5,Human X,LLM B
6,Human X,LLM B
5,Human X,LLM B
5,Human X,LLM B
5,Human X,LLM B
5,Human X,LLM B
4,Human X,LLM B
6,Human X,LLM B
4,Human X,LLM B
7,Human X,LLM B
6,Human X,LLM B
6,Human X,LLM B
6,Human X,LLM B
5,Human X,LLM B
8,Human Y,LLM A
9,Human Y,LLM A
8,Human Y,LLM A
8,Human Y,LLM A
8,Human Y,LLM A
8,Human Y,LLM A
9,Human Y,LLM A
8,Human Y,LLM A
8,Human Y,LLM A
9,Human Y,LLM A
10,Human Y,LLM A
7,Human Y,LLM A
9,Human Y,LLM A
8,Human Y,LLM A
8,Human Y,LLM A
8,Human Y,LLM A
8,Human Y,LLM A
8,Human Y,LLM A
8,Human Y,LLM A
7,Human Y,LLM A
8,Human Y,LLM A
7,Human Y,LLM A
9,Human Y,LLM A
9,Human Y,LLM A
7,Human Y,LLM A
8,Human Y,LLM A
8,Human Y,LLM A
9,Human Y,LLM A
7,Human Y,LLM A
9,Human Y,LLM A
8,Human Y,LLM A
9,Human Y,LLM A
7,Human Y,LLM A
9,Human Y,LLM A
7,Human Y,LLM A
8,Human Y,LLM A
8,Human Y,LLM A
9,Human Y,LLM A
9,Human Y,LLM A
8,Human Y,LLM A
8,Human Y,LLM A
7,Human Y,LLM A
7,Human Y,LLM A
8,Human Y,LLM A
7,Human Y,LLM A
7,Human Y,LLM A
6,Human Y,LLM A
10,Human Y,LLM A
7,Human Y,LLM A
8,Human Y,LLM A
8,Human Y,LLM A
8,Human Y,LLM A
8,Human Y,LLM A
8,Human Y,LLM A
7,Human Y,LLM A
9,Human Y,LLM A
7,Human Y,LLM A
8,Human Y,LLM A
9,Human Y,LLM A
8,Human Y,LLM A
7,Human Y,LLM A
9,Human Y,LLM A
9,Human Y,LLM A
9,Human Y,LLM A
8,Human Y,LLM A
9,Human Y,LLM A
8,Human Y,LLM A
7,Human Y,LLM A
10,Human Y,LLM A
6,Human Y,LLM A
8,Human Y,LLM A
7,Human Y,LLM A
7,Human Y,LLM A
8,Human Y,LLM A
9,Human Y,LLM A
7,Human Y,LLM A
8,Human Y,LLM A
6,Human Y,LLM A
8,Human Y,LLM A
8,Human Y,LLM A
8,Human Y,LLM A
6,Human Y,LLM A
7,Human Y,LLM B
5,Human Y,LLM B
7,Human Y,LLM B
6,Human Y,LLM B
4,Human Y,LLM B
5,Human Y,LLM B
6,Human Y,LLM B
6,Human Y,LLM B
7,Human Y,LLM B
6,Human Y,LLM B
7,Human Y,LLM B
5,Human Y,LLM B
6,Human Y,LLM B
5,Human Y,LLM B
6,Human Y,LLM B
5,Human Y,LLM B
7,Human Y,LLM B
5,Human Y,LLM B
6,Human Y,LLM B
7,Human Y,LLM B
7,Human Y,LLM B
6,Human Y,LLM B
6,Human Y,LLM B
7,Human Y,LLM B
5,Human Y,LLM B
7,Human Y,LLM B
6,Human Y,LLM B
5,Human Y,LLM B
5,Human Y,LLM B
6,Human Y,LLM B
6,Human Y,LLM B
6,Human Y,LLM B
6,Human Y,LLM B
4,Human Y,LLM B
6,Human Y,LLM B
7,Human Y,LLM B
5,Human Y,LLM B
7,Human Y,LLM B
7,Human Y,LLM B
6,Human Y,LLM B
7,Human Y,LLM B
5,Human Y,LLM B
6,Human Y,LLM B
5,Human Y,LLM B
5,Human Y,LLM B
4,Human Y,LLM B
5,Human Y,LLM B
5,Human Y,LLM B
6,Human Y,LLM B
6,Human Y,LLM B
8,Human Y,LLM B
6,Human Y,LLM B
6,Human Y,LLM B
4,Human Y,LLM B
5,Human Y,LLM B
6,Human Y,LLM B
5,Human Y,LLM B
7,Human Y,LLM B
6,Human Y,LLM B
6,Human Y,LLM B
7,Human Y,LLM B
5,Human Y,LLM B
7,Human Y,LLM B
6,Human Y,LLM B
6,Human Y,LLM B
5,Human Y,LLM B
6,Human Y,LLM B
6,Human Y,LLM B
7,Human Y,LLM B
7,Human Y,LLM B
7,Human Y,LLM B
5,Human Y,LLM B
5,Human Y,LLM B
4,Human Y,LLM B
5,Human Y,LLM B
5,Human Y,LLM B
5,Human Y,LLM B
6,Human Y,LLM B
5,Human Y,LLM B
7,Human Y,LLM B
6,Human Y,LLM B
7,Human Z,LLM A
8,Human Z,LLM A
9,Human Z,LLM A
9,Human Z,LLM A
9,Human Z,LLM A
8,Human Z,LLM A
10,Human Z,LLM A
9,Human Z,LLM A
9,Human Z,LLM A
7,Human Z,LLM A
8,Human Z,LLM A
9,Human Z,LLM A
8,Human Z,LLM A
7,Human Z,LLM A
8,Human Z,LLM A
8,Human Z,LLM A
10,Human Z,LLM A
10,Human Z,LLM A
9,Human Z,LLM A
10,Human Z,LLM A
8,Human Z,LLM A
9,Human Z,LLM A
10,Human Z,LLM A
8,Human Z,LLM A
9,Human Z,LLM A
9,Human Z,LLM A
8,Human Z,LLM A
8,Human Z,LLM A
9,Human Z,LLM A
9,Human Z,LLM A
8,Human Z,LLM A
10,Human Z,LLM A
9,Human Z,LLM A
9,Human Z,LLM A
9,Human Z,LLM A
8,Human Z,LLM A
9,Human Z,LLM A
9,Human Z,LLM A
9,Human Z,LLM A
10,Human Z,LLM A
8,Human Z,LLM A
7,Human Z,LLM A
8,Human Z,LLM A
8,Human Z,LLM A
9,Human Z,LLM A
9,Human Z,LLM A
8,Human Z,LLM A
8,Human Z,LLM A
10,Human Z,LLM A
7,Human Z,LLM A
9,Human Z,LLM A
9,Human Z,LLM A
7,Human Z,LLM A
8,Human Z,LLM A
9,Human Z,LLM A
10,Human Z,LLM A
9,Human Z,LLM A
8,Human Z,LLM A
9,Human Z,LLM A
8,Human Z,LLM A
8,Human Z,LLM A
7,Human Z,LLM A
9,Human Z,LLM A
9,Human Z,LLM A
7,Human Z,LLM A
9,Human Z,LLM A
9,Human Z,LLM A
10,Human Z,LLM A
10,Human Z,LLM A
8,Human Z,LLM A
8,Human Z,LLM A
9,Human Z,LLM A
9,Human Z,LLM A
9,Human Z,LLM A
9,Human Z,LLM A
9,Human Z,LLM A
9,Human Z,LLM A
9,Human Z,LLM A
8,Human Z,LLM A
7,Human Z,LLM A
8,Human Z,LLM A
8,Human Z,LLM A
8,Human Z,LLM A
9,Human Z,LLM A
8,Human Z,LLM A
8,Human Z,LLM A
10,Human Z,LLM A
8,Human Z,LLM A
9,Human Z,LLM A
9,Human Z,LLM A
8,Human Z,LLM A
8,Human Z,LLM A
8,Human Z,LLM A
9,Human Z,LLM A
8,Human Z,LLM A
6,Human Z,LLM B
8,Human Z,LLM B
6,Human Z,LLM B
7,Human Z,LLM B
7,Human Z,LLM B
6,Human Z,LLM B
6,Human Z,LLM B
8,Human Z,LLM B
8,Human Z,LLM B
7,Human Z,LLM B
6,Human Z,LLM B
6,Human Z,LLM B
6,Human Z,LLM B
6,Human Z,LLM B
6,Human Z,LLM B
5,Human Z,LLM B
7,Human Z,LLM B
7,Human Z,LLM B
7,Human Z,LLM B
5,Human Z,LLM B
6,Human Z,LLM B
5,Human Z,LLM B
6,Human Z,LLM B
5,Human Z,LLM B
6,Human Z,LLM B
6,Human Z,LLM B
8,Human Z,LLM B
7,Human Z,LLM B
6,Human Z,LLM B
7,Human Z,LLM B
7,Human Z,LLM B
6,Human Z,LLM B
6,Human Z,LLM B
7,Human Z,LLM B
5,Human Z,LLM B
6,Human Z,LLM B
7,Human Z,LLM B
6,Human Z,LLM B
7,Human Z,LLM B
7,Human Z,LLM B
7,Human Z,LLM B
6,Human Z,LLM B
7,Human Z,LLM B
7,Human Z,LLM B
8,Human Z,LLM B
6,Human Z,LLM B
7,Human Z,LLM B
5,Human Z,LLM B
5,Human Z,LLM B
6,Human Z,LLM B
7,Human Z,LLM B
6,Human Z,LLM B
7,Human Z,LLM B
6,Human Z,LLM B
5,Human Z,LLM B
6,Human Z,LLM B
7,Human Z,LLM B
6,Human Z,LLM B
7,Human Z,LLM B
6,Human Z,LLM B
5,Human Z,LLM B
6,Human Z,LLM B
7,Human Z,LLM B
5,Human Z,LLM B
5,Human Z,LLM B
7,Human Z,LLM B
7,Human Z,LLM B
7,Human Z,LLM B
8,Human Z,LLM B
7,Human Z,LLM B
6,Human Z,LLM B
8,Human Z,LLM B
7,Human Z,LLM B
6,Human Z,LLM B
7,Human Z,LLM B
6,Human Z,LLM B
7,Human Z,LLM B
8,Human Z,LLM B
7,Human Z,LLM B
6,Human Z,LLM B
4,Human Z,LLM B
6,Human Z,LLM B
6,Human Z,LLM B
8,Human Z,LLM B
5,Autograder A,LLM A
4,Autograder A,LLM A
3,Autograder A,LLM A
5,Autograder A,LLM A
6,Autograder A,LLM A
6,Autograder A,LLM A
5,Autograder A,LLM A
5,Autograder A,LLM A
4,Autograder A,LLM A
4,Autograder A,LLM A
5,Autograder A,LLM A
6,Autograder A,LLM A
4,Autograder A,LLM A
4,Autograder A,LLM A
3,Autograder A,LLM A
5,Autograder A,LLM A
5,Autograder A,LLM A
5,Autograder A,LLM A
3,Autograder A,LLM A
4,Autograder A,LLM A
5,Autograder A,LLM A
5,Autograder A,LLM A
5,Autograder A,LLM A
4,Autograder A,LLM A
5,Autograder A,LLM A
6,Autograder A,LLM A
4,Autograder A,LLM A
6,Autograder A,LLM A
4,Autograder A,LLM A
5,Autograder A,LLM A
6,Autograder A,LLM A
6,Autograder A,LLM A
5,Autograder A,LLM A
3,Autograder A,LLM A
5,Autograder A,LLM A
5,Autograder A,LLM A
5,Autograder A,LLM A
5,Autograder A,LLM A
5,Autograder A,LLM A
3,Autograder A,LLM A
4,Autograder A,LLM A
5,Autograder A,LLM A
6,Autograder A,LLM A
4,Autograder A,LLM A
5,Autograder A,LLM A
6,Autograder A,LLM A
5,Autograder A,LLM A
6,Autograder A,LLM A
5,Autograder A,LLM A
5,Autograder A,LLM A
4,Autograder A,LLM A
5,Autograder A,LLM A
5,Autograder A,LLM A
6,Autograder A,LLM A
5,Autograder A,LLM A
6,Autograder A,LLM A
4,Autograder A,LLM A
5,Autograder A,LLM A
6,Autograder A,LLM A
6,Autograder A,LLM A
6,Autograder A,LLM A
6,Autograder A,LLM A
5,Autograder A,LLM A
4,Autograder A,LLM A
6,Autograder A,LLM A
6,Autograder A,LLM A
7,Autograder A,LLM A
5,Autograder A,LLM A
4,Autograder A,LLM A
4,Autograder A,LLM A
5,Autograder A,LLM A
5,Autograder A,LLM A
3,Autograder A,LLM A
5,Autograder A,LLM A
5,Autograder A,LLM A
6,Autograder A,LLM A
4,Autograder A,LLM A
5,Autograder A,LLM A
5,Autograder A,LLM A
5,Autograder A,LLM A
4,Autograder A,LLM A
4,Autograder A,LLM A
5,Autograder A,LLM A
3,Autograder A,LLM B
3,Autograder A,LLM B
1,Autograder A,LLM B
2,Autograder A,LLM B
2,Autograder A,LLM B
3,Autograder A,LLM B
3,Autograder A,LLM B
3,Autograder A,LLM B
1,Autograder A,LLM B
0,Autograder A,LLM B
1,Autograder A,LLM B
2,Autograder A,LLM B
3,Autograder A,LLM B
4,Autograder A,LLM B
2,Autograder A,LLM B
1,Autograder A,LLM B
1,Autograder A,LLM B
1,Autograder A,LLM B
1,Autograder A,LLM B
0,Autograder A,LLM B
2,Autograder A,LLM B
2,Autograder A,LLM B
0,Autograder A,LLM B
3,Autograder A,LLM B
1,Autograder A,LLM B
2,Autograder A,LLM B
3,Autograder A,LLM B
3,Autograder A,LLM B
2,Autograder A,LLM B
1,Autograder A,LLM B
4,Autograder A,LLM B
2,Autograder A,LLM B
2,Autograder A,LLM B
2,Autograder A,LLM B
3,Autograder A,LLM B
1,Autograder A,LLM B
2,Autograder A,LLM B
0,Autograder A,LLM B
1,Autograder A,LLM B
3,Autograder A,LLM B
3,Autograder A,LLM B
3,Autograder A,LLM B
0,Autograder A,LLM B
1,Autograder A,LLM B
1,Autograder A,LLM B
2,Autograder A,LLM B
3,Autograder A,LLM B
2,Autograder A,LLM B
2,Autograder A,LLM B
2,Autograder A,LLM B
1,Autograder A,LLM B
3,Autograder A,LLM B
3,Autograder A,LLM B
3,Autograder A,LLM B
1,Autograder A,LLM B
3,Autograder A,LLM B
3,Autograder A,LLM B
3,Autograder A,LLM B
1,Autograder A,LLM B
0,Autograder A,LLM B
2,Autograder A,LLM B
1,Autograder A,LLM B
2,Autograder A,LLM B
2,Autograder A,LLM B
1,Autograder A,LLM B
2,Autograder A,LLM B
2,Autograder A,LLM B
3,Autograder A,LLM B
3,Autograder A,LLM B
2,Autograder A,LLM B
2,Autograder A,LLM B
0,Autograder A,LLM B
3,Autograder A,LLM B
3,Autograder A,LLM B
3,Autograder A,LLM B
3,Autograder A,LLM B
2,Autograder A,LLM B
3,Autograder A,LLM B
2,Autograder A,LLM B
2,Autograder A,LLM B
3,Autograder A,LLM B
2,Autograder A,LLM B
3,Autograder A,LLM B
4,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
7,Autograder B,LLM A
5,Autograder B,LLM A
4,Autograder B,LLM A
5,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
5,Autograder B,LLM A
5,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
5,Autograder B,LLM A
4,Autograder B,LLM A
5,Autograder B,LLM A
4,Autograder B,LLM A
5,Autograder B,LLM A
4,Autograder B,LLM A
6,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
5,Autograder B,LLM A
5,Autograder B,LLM A
3,Autograder B,LLM A
4,Autograder B,LLM A
5,Autograder B,LLM A
4,Autograder B,LLM A
5,Autograder B,LLM A
5,Autograder B,LLM A
5,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
5,Autograder B,LLM A
3,Autograder B,LLM A
4,Autograder B,LLM A
5,Autograder B,LLM A
4,Autograder B,LLM A
3,Autograder B,LLM A
4,Autograder B,LLM A
5,Autograder B,LLM A
4,Autograder B,LLM A
3,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
3,Autograder B,LLM A
4,Autograder B,LLM A
5,Autograder B,LLM A
4,Autograder B,LLM A
3,Autograder B,LLM A
5,Autograder B,LLM A
6,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
3,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
3,Autograder B,LLM A
3,Autograder B,LLM A
4,Autograder B,LLM A
3,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
5,Autograder B,LLM A
3,Autograder B,LLM A
5,Autograder B,LLM A
6,Autograder B,LLM A
3,Autograder B,LLM A
5,Autograder B,LLM A
3,Autograder B,LLM A
4,Autograder B,LLM A
3,Autograder B,LLM A
4,Autograder B,LLM A
4,Autograder B,LLM A
3,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
1,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
1,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
1,Autograder B,LLM B
4,Autograder B,LLM B
4,Autograder B,LLM B
1,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
4,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
4,Autograder B,LLM B
4,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
5,Autograder B,LLM B
4,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
4,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
5,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
4,Autograder B,LLM B
4,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
2,Autograder B,LLM B
4,Autograder B,LLM B
2,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
3,Autograder B,LLM B
4,Autograder B,LLM B
4,Autograder B,LLM B
5,Autograder C,LLM A
4,Autograder C,LLM A
6,Autograder C,LLM A
7,Autograder C,LLM A
6,Autograder C,LLM A
6,Autograder C,LLM A
6,Autograder C,LLM A
6,Autograder C,LLM A
5,Autograder C,LLM A
8,Autograder C,LLM A
6,Autograder C,LLM A
6,Autograder C,LLM A
8,Autograder C,LLM A
7,Autograder C,LLM A
7,Autograder C,LLM A
8,Autograder C,LLM A
5,Autograder C,LLM A
7,Autograder C,LLM A
6,Autograder C,LLM A
7,Autograder C,LLM A
6,Autograder C,LLM A
6,Autograder C,LLM A
6,Autograder C,LLM A
5,Autograder C,LLM A
5,Autograder C,LLM A
6,Autograder C,LLM A
5,Autograder C,LLM A
6,Autograder C,LLM A
7,Autograder C,LLM A
7,Autograder C,LLM A
5,Autograder C,LLM A
3,Autograder C,LLM A
6,Autograder C,LLM A
5,Autograder C,LLM A
6,Autograder C,LLM A
6,Autograder C,LLM A
6,Autograder C,LLM A
5,Autograder C,LLM A
5,Autograder C,LLM A
5,Autograder C,LLM A
6,Autograder C,LLM A
6,Autograder C,LLM A
6,Autograder C,LLM A
7,Autograder C,LLM A
7,Autograder C,LLM A
7,Autograder C,LLM A
5,Autograder C,LLM A
5,Autograder C,LLM A
6,Autograder C,LLM A
6,Autograder C,LLM A
6,Autograder C,LLM A
6,Autograder C,LLM A
6,Autograder C,LLM A
7,Autograder C,LLM A
6,Autograder C,LLM A
7,Autograder C,LLM A
6,Autograder C,LLM A
5,Autograder C,LLM A
6,Autograder C,LLM A
5,Autograder C,LLM A
6,Autograder C,LLM A
7,Autograder C,LLM A
6,Autograder C,LLM A
6,Autograder C,LLM A
7,Autograder C,LLM A
6,Autograder C,LLM A
6,Autograder C,LLM A
6,Autograder C,LLM A
6,Autograder C,LLM A
6,Autograder C,LLM A
6,Autograder C,LLM A
6,Autograder C,LLM A
6,Autograder C,LLM A
7,Autograder C,LLM A
5,Autograder C,LLM A
6,Autograder C,LLM A
6,Autograder C,LLM A
5,Autograder C,LLM A
8,Autograder C,LLM A
6,Autograder C,LLM A
7,Autograder C,LLM A
6,Autograder C,LLM A
5,Autograder C,LLM A
7,Autograder C,LLM A
6,Autograder C,LLM A
6,Autograder C,LLM A
6,Autograder C,LLM A
7,Autograder C,LLM A
7,Autograder C,LLM A
6,Autograder C,LLM A
5,Autograder C,LLM B
4,Autograder C,LLM B
4,Autograder C,LLM B
4,Autograder C,LLM B
4,Autograder C,LLM B
5,Autograder C,LLM B
4,Autograder C,LLM B
5,Autograder C,LLM B
4,Autograder C,LLM B
3,Autograder C,LLM B
4,Autograder C,LLM B
6,Autograder C,LLM B
4,Autograder C,LLM B
3,Autograder C,LLM B
3,Autograder C,LLM B
4,Autograder C,LLM B
5,Autograder C,LLM B
5,Autograder C,LLM B
4,Autograder C,LLM B
3,Autograder C,LLM B
5,Autograder C,LLM B
4,Autograder C,LLM B
3,Autograder C,LLM B
4,Autograder C,LLM B
5,Autograder C,LLM B
5,Autograder C,LLM B
3,Autograder C,LLM B
3,Autograder C,LLM B
5,Autograder C,LLM B
4,Autograder C,LLM B
3,Autograder C,LLM B
4,Autograder C,LLM B
4,Autograder C,LLM B
3,Autograder C,LLM B
4,Autograder C,LLM B
5,Autograder C,LLM B
5,Autograder C,LLM B
5,Autograder C,LLM B
4,Autograder C,LLM B
3,Autograder C,LLM B
4,Autograder C,LLM B
4,Autograder C,LLM B
3,Autograder C,LLM B
5,Autograder C,LLM B
4,Autograder C,LLM B
6,Autograder C,LLM B
3,Autograder C,LLM B
4,Autograder C,LLM B
4,Autograder C,LLM B
4,Autograder C,LLM B
3,Autograder C,LLM B
5,Autograder C,LLM B
5,Autograder C,LLM B
5,Autograder C,LLM B
4,Autograder C,LLM B
5,Autograder C,LLM B
3,Autograder C,LLM B
4,Autograder C,LLM B
4,Autograder C,LLM B
3,Autograder C,LLM B
4,Autograder C,LLM B
4,Autograder C,LLM B
4,Autograder C,LLM B
4,Autograder C,LLM B
4,Autograder C,LLM B
4,Autograder C,LLM B
4,Autograder C,LLM B
6,Autograder C,LLM B
4,Autograder C,LLM B
4,Autograder C,LLM B
4,Autograder C,LLM B
3,Autograder C,LLM B
4,Autograder C,LLM B
5,Autograder C,LLM B
5,Autograder C,LLM B
4,Autograder C,LLM B
5,Autograder C,LLM B
5,Autograder C,LLM B
2,Autograder C,LLM B
5,Autograder C,LLM B
5,Autograder C,LLM B
4,Autograder C,LLM B
4,Autograder C,LLM B
4,Autograder C,LLM B
6,Autograder C,LLM B
3,Autograder C,LLM B
