LLM_1,LLM_2,grader,first_is_chosen,length_diff,llm_pair
LLM A,LLM B,Human,0,69.175602846153,LLM A-LLM B
LLM A,LLM B,Human,0,108.96731778333111,LLM A-LLM B
LLM A,LLM B,Human,1,108.40452031052243,LLM A-LLM B
LLM A,LLM B,Human,1,71.36378323383587,LLM A-LLM B
LLM A,LLM B,Human,1,47.37912086658861,LLM A-LLM B
LLM A,LLM B,Human,1,21.988236415314105,LLM A-LLM B
LLM A,LLM B,Human,1,173.48667519322265,LLM A-LLM B
LLM A,LLM B,Human,1,57.18788215387667,LLM A-LLM B
LLM A,LLM B,Human,0,79.64017244879446,LLM A-LLM B
LLM A,LLM B,Human,0,138.50996513315636,LLM A-LLM B
LLM A,LLM B,Human,1,76.8703457926891,LLM A-LLM B
LLM A,LLM B,Human,1,125.63467209456144,LLM A-LLM B
LLM A,LLM B,Human,1,150.1731080252681,LLM A-LLM B
LLM A,LLM B,Human,1,31.718001254491895,LLM A-LLM B
LLM A,LLM B,Human,1,122.7643366445352,LLM A-LLM B
LLM A,LLM B,Human,1,129.1323121651981,LLM A-LLM B
LLM A,LLM B,Human,1,66.6731103760201,LLM A-LLM B
LLM A,LLM B,Human,1,110.30764937343035,LLM A-LLM B
LLM A,LLM B,Human,0,89.50294919266477,LLM A-LLM B
LLM A,LLM B,Human,1,68.42667502674158,LLM A-LLM B
LLM A,LLM B,Human,1,142.9039115979803,LLM A-LLM B
LLM A,LLM B,Human,1,48.43103490849249,LLM A-LLM B
LLM A,LLM B,Human,0,123.2060182038554,LLM A-LLM B
LLM A,LLM B,Human,1,96.72381313668642,LLM A-LLM B
LLM A,LLM B,Human,0,108.8622718982221,LLM A-LLM B
LLM A,LLM B,Human,1,170.53762539147348,LLM A-LLM B
LLM A,LLM B,Human,1,70.70257659155021,LLM A-LLM B
LLM A,LLM B,Human,1,163.6122429675147,LLM A-LLM B
LLM A,LLM B,Human,1,166.75924695381053,LLM A-LLM B
LLM A,LLM B,Human,1,107.87982159236405,LLM A-LLM B
LLM A,LLM B,Human,1,104.04768726630036,LLM A-LLM B
LLM A,LLM B,Human,0,155.59212590889734,LLM A-LLM B
LLM A,LLM B,Human,1,136.09636635132568,LLM A-LLM B
LLM A,LLM B,Human,1,39.86299486082589,LLM A-LLM B
LLM A,LLM B,Human,1,92.39307308342373,LLM A-LLM B
LLM A,LLM B,Human,0,73.04232977451392,LLM A-LLM B
LLM A,LLM B,Human,1,32.550724736337784,LLM A-LLM B
LLM A,LLM B,Human,0,159.1701732677487,LLM A-LLM B
LLM A,LLM B,Human,1,114.10143902355489,LLM A-LLM B
LLM A,LLM B,Human,0,164.9647494222254,LLM A-LLM B
LLM A,LLM B,Human,1,91.18853282694377,LLM A-LLM B
LLM A,LLM B,Human,0,68.83754546207989,LLM A-LLM B
LLM A,LLM B,Human,1,121.95156834445314,LLM A-LLM B
LLM A,LLM B,Human,1,91.15839795588292,LLM A-LLM B
LLM A,LLM B,Human,0,84.88339763173587,LLM A-LLM B
LLM A,LLM B,Human,1,104.84977446286783,LLM A-LLM B
LLM A,LLM B,Human,1,111.33035803659868,LLM A-LLM B
LLM A,LLM B,Human,1,108.2371446818402,LLM A-LLM B
LLM A,LLM B,Human,0,141.50947005220303,LLM A-LLM B
LLM A,LLM B,Human,1,154.32961284939745,LLM A-LLM B
LLM A,LLM B,Human,0,73.71458209089451,LLM A-LLM B
LLM A,LLM B,Human,0,101.87941714801275,LLM A-LLM B
LLM A,LLM B,Human,1,59.473466301300945,LLM A-LLM B
LLM A,LLM B,Human,0,48.202434751353266,LLM A-LLM B
LLM A,LLM B,Human,0,83.39149676057096,LLM A-LLM B
LLM A,LLM B,Human,0,66.11460701376103,LLM A-LLM B
LLM A,LLM B,Autograder,1,75.65823673188143,LLM A-LLM B
LLM A,LLM B,Autograder,1,113.5683011641062,LLM A-LLM B
LLM A,LLM B,Autograder,1,157.61268827911448,LLM A-LLM B
LLM A,LLM B,Autograder,1,147.7928680128168,LLM A-LLM B
LLM A,LLM B,Autograder,1,77.01374251684429,LLM A-LLM B
LLM A,LLM B,Autograder,0,44.06117969786565,LLM A-LLM B
LLM A,LLM B,Autograder,1,136.7272108087249,LLM A-LLM B
LLM A,LLM B,Autograder,0,68.9400826694525,LLM A-LLM B
LLM A,LLM B,Autograder,1,69.46154703530303,LLM A-LLM B
LLM A,LLM B,Autograder,1,88.44326255722639,LLM A-LLM B
LLM A,LLM B,Autograder,1,100.35158555552393,LLM A-LLM B
LLM A,LLM B,Autograder,1,69.19830707450106,LLM A-LLM B
LLM A,LLM B,Autograder,1,153.962037587516,LLM A-LLM B
LLM A,LLM B,Autograder,1,117.61349970727856,LLM A-LLM B
LLM A,LLM B,Autograder,1,125.64412022281765,LLM A-LLM B
LLM A,LLM B,Autograder,0,125.5846416249254,LLM A-LLM B
LLM A,LLM B,Autograder,1,96.55490641452003,LLM A-LLM B
LLM A,LLM B,Autograder,1,67.71813905366483,LLM A-LLM B
LLM A,LLM B,Autograder,1,55.330204773760286,LLM A-LLM B
LLM A,LLM B,Autograder,1,81.70923142865188,LLM A-LLM B
LLM A,LLM B,Autograder,1,164.67339789048168,LLM A-LLM B
LLM A,LLM B,Autograder,1,124.6074633450038,LLM A-LLM B
LLM A,LLM B,Autograder,1,81.64387470942667,LLM A-LLM B
LLM A,LLM B,Autograder,1,71.6984179141481,LLM A-LLM B
LLM A,LLM B,Autograder,1,59.46732131590374,LLM A-LLM B
LLM A,LLM B,Autograder,1,97.39156520383203,LLM A-LLM B
LLM A,LLM B,Autograder,1,165.02672158402817,LLM A-LLM B
LLM A,LLM B,Autograder,1,120.82152611331968,LLM A-LLM B
LLM A,LLM B,Autograder,1,89.84580911661475,LLM A-LLM B
LLM A,LLM B,Autograder,1,90.55514875278747,LLM A-LLM B
LLM A,LLM B,Autograder,1,130.37650005081576,LLM A-LLM B
LLM A,LLM B,Autograder,1,18.81519193452681,LLM A-LLM B
LLM A,LLM B,Autograder,1,80.2711151154962,LLM A-LLM B
LLM A,LLM B,Autograder,1,66.39536921362141,LLM A-LLM B
LLM A,LLM B,Autograder,1,51.397001275155446,LLM A-LLM B
LLM A,LLM B,Autograder,1,45.206526180016446,LLM A-LLM B
LLM A,LLM B,Autograder,1,138.29757322995513,LLM A-LLM B
LLM A,LLM B,Autograder,1,129.57450125861172,LLM A-LLM B
LLM A,LLM B,Autograder,1,117.71520594436952,LLM A-LLM B
LLM A,LLM B,Autograder,1,23.912345368632486,LLM A-LLM B
LLM A,LLM B,Autograder,1,93.66510160916644,LLM A-LLM B
LLM A,LLM B,Autograder,1,63.23808502179573,LLM A-LLM B
LLM A,LLM B,Autograder,1,75.07116962920288,LLM A-LLM B
LLM A,LLM B,Autograder,1,147.98520721073015,LLM A-LLM B
LLM A,LLM B,Autograder,1,124.53941729488305,LLM A-LLM B
LLM A,LLM B,Autograder,1,133.64703773523166,LLM A-LLM B
LLM A,LLM B,Autograder,1,115.1652221192848,LLM A-LLM B
LLM A,LLM B,Autograder,1,122.49889744877521,LLM A-LLM B
LLM A,LLM B,Autograder,1,128.84156685116295,LLM A-LLM B
LLM A,LLM B,Autograder,0,47.08985975874279,LLM A-LLM B
LLM A,LLM B,Autograder,1,70.87421340835509,LLM A-LLM B
LLM A,LLM B,Autograder,1,157.98597436971514,LLM A-LLM B
LLM A,LLM B,Autograder,1,60.35479054932755,LLM A-LLM B
LLM A,LLM B,Autograder,1,145.34307945660802,LLM A-LLM B
LLM A,LLM B,Autograder,1,139.29703591035317,LLM A-LLM B
LLM A,LLM B,Autograder,1,118.03572317880942,LLM A-LLM B
LLM A,LLM B,Autograder,1,112.87886601185649,LLM A-LLM B
LLM A,LLM B,Autograder,1,81.77664373834362,LLM A-LLM B
LLM A,LLM B,Autograder,1,93.2436139008407,LLM A-LLM B
LLM A,LLM B,Autograder,1,63.60074933944884,LLM A-LLM B
LLM A,LLM B,Autograder,1,111.10089830101727,LLM A-LLM B
LLM A,LLM B,Autograder,0,48.769933327160395,LLM A-LLM B
LLM A,LLM B,Autograder,1,47.23898134653848,LLM A-LLM B
LLM A,LLM B,Autograder,1,156.63146913052853,LLM A-LLM B
LLM A,LLM B,Autograder,1,135.54096486050435,LLM A-LLM B
LLM A,LLM B,Autograder,1,68.34172123989505,LLM A-LLM B
LLM A,LLM B,Autograder,1,114.20035020743373,LLM A-LLM B
LLM A,LLM B,Autograder,1,70.55369672344756,LLM A-LLM B
LLM A,LLM B,Autograder,1,84.30545158210734,LLM A-LLM B
LLM A,LLM B,Autograder,0,90.39759870036974,LLM A-LLM B
LLM A,LLM B,Autograder,1,121.8641628904563,LLM A-LLM B
LLM A,LLM B,Autograder,1,43.810287137746826,LLM A-LLM B
LLM A,LLM B,Autograder,1,72.53967285864945,LLM A-LLM B
LLM A,LLM B,Autograder,1,118.73509799048088,LLM A-LLM B
LLM A,LLM B,Autograder,1,111.65813904261125,LLM A-LLM B
LLM A,LLM B,Autograder,1,47.15432899598167,LLM A-LLM B
LLM A,LLM B,Autograder,1,142.01463354514647,LLM A-LLM B
LLM A,LLM B,Autograder,1,49.57828733499939,LLM A-LLM B
LLM A,LLM B,Autograder,1,145.18635569766082,LLM A-LLM B
LLM A,LLM B,Autograder,1,151.297931660898,LLM A-LLM B
LLM A,LLM B,Autograder,1,100.41272665156437,LLM A-LLM B
LLM A,LLM B,Autograder,1,124.24466090662963,LLM A-LLM B
LLM A,LLM B,Autograder,1,131.41064858354162,LLM A-LLM B
LLM A,LLM B,Autograder,1,129.67087079874892,LLM A-LLM B
LLM A,LLM B,Autograder,1,96.9118626549283,LLM A-LLM B
LLM A,LLM B,Autograder,1,85.18077573191712,LLM A-LLM B
LLM A,LLM B,Autograder,1,126.29857917374227,LLM A-LLM B
LLM A,LLM B,Autograder,1,78.16414973787582,LLM A-LLM B
LLM A,LLM B,Autograder,1,91.42652456294614,LLM A-LLM B
LLM A,LLM B,Autograder,1,65.38379733940383,LLM A-LLM B
LLM A,LLM B,Autograder,1,93.92577696099016,LLM A-LLM B
LLM A,LLM B,Autograder,0,93.71878546029797,LLM A-LLM B
LLM A,LLM B,Autograder,1,63.926038519141606,LLM A-LLM B
LLM A,LLM B,Autograder,1,64.07653159630485,LLM A-LLM B
LLM A,LLM B,Autograder,1,146.96596835224003,LLM A-LLM B
LLM A,LLM B,Autograder,1,16.092142314256478,LLM A-LLM B
LLM A,LLM B,Autograder,1,115.56160354804139,LLM A-LLM B
LLM A,LLM B,Autograder,1,124.25726560479504,LLM A-LLM B
LLM A,LLM B,Autograder,1,83.12820943905906,LLM A-LLM B
LLM A,LLM B,Autograder,1,40.008692544630186,LLM A-LLM B
LLM A,LLM B,Autograder,1,57.867989929721084,LLM A-LLM B
LLM A,LLM B,Autograder,1,23.419100236425066,LLM A-LLM B
LLM A,LLM B,Autograder,1,38.27148368284678,LLM A-LLM B
LLM A,LLM B,Autograder,1,125.17894619682403,LLM A-LLM B
LLM A,LLM B,Autograder,1,99.25142414369132,LLM A-LLM B
LLM A,LLM B,Autograder,1,140.17408708691443,LLM A-LLM B
LLM A,LLM B,Autograder,1,77.66399584520173,LLM A-LLM B
LLM A,LLM B,Autograder,1,67.10524346378213,LLM A-LLM B
LLM A,LLM B,Autograder,1,35.01882093442677,LLM A-LLM B
LLM A,LLM B,Autograder,1,77.13758012423115,LLM A-LLM B
LLM A,LLM B,Autograder,1,131.2843804777035,LLM A-LLM B
LLM A,LLM B,Autograder,1,104.14244571041951,LLM A-LLM B
LLM A,LLM B,Autograder,1,140.41765094602212,LLM A-LLM B
LLM A,LLM B,Autograder,1,140.9304278579075,LLM A-LLM B
LLM A,LLM B,Autograder,1,74.48054230889846,LLM A-LLM B
LLM A,LLM B,Autograder,1,150.63125482708756,LLM A-LLM B
LLM A,LLM B,Autograder,1,90.35485883812723,LLM A-LLM B
LLM A,LLM B,Autograder,1,146.1707693247294,LLM A-LLM B
LLM A,LLM B,Autograder,1,130.46097708413834,LLM A-LLM B
LLM A,LLM B,Autograder,1,58.980170308912875,LLM A-LLM B
LLM A,LLM B,Autograder,1,96.57310649700902,LLM A-LLM B
LLM A,LLM B,Autograder,1,152.438486295408,LLM A-LLM B
LLM A,LLM B,Autograder,0,-3.403022348782031,LLM A-LLM B
LLM A,LLM B,Autograder,0,86.21563662847359,LLM A-LLM B
LLM A,LLM B,Autograder,1,194.65619068613398,LLM A-LLM B
LLM A,LLM B,Autograder,1,107.63959146314029,LLM A-LLM B
LLM A,LLM B,Autograder,1,70.42418247365154,LLM A-LLM B
LLM A,LLM B,Autograder,1,74.75677585609833,LLM A-LLM B
LLM A,LLM B,Autograder,1,112.39352054750562,LLM A-LLM B
LLM A,LLM C,Human,1,-14.790343333394631,LLM A-LLM C
LLM A,LLM C,Human,0,110.0722823020763,LLM A-LLM C
LLM A,LLM C,Human,0,40.66690419895285,LLM A-LLM C
LLM A,LLM C,Human,1,122.83903404142134,LLM A-LLM C
LLM A,LLM C,Human,1,81.03327876792162,LLM A-LLM C
LLM A,LLM C,Human,1,51.66555306397576,LLM A-LLM C
LLM A,LLM C,Human,1,103.66963726946675,LLM A-LLM C
LLM A,LLM C,Human,0,79.86002411096986,LLM A-LLM C
LLM A,LLM C,Human,1,56.63295798749306,LLM A-LLM C
LLM A,LLM C,Human,1,42.40366501478028,LLM A-LLM C
LLM A,LLM C,Human,1,98.29751874380673,LLM A-LLM C
LLM A,LLM C,Human,0,11.58508199872518,LLM A-LLM C
LLM A,LLM C,Human,1,-9.245151065894028,LLM A-LLM C
LLM A,LLM C,Human,0,29.97545534572587,LLM A-LLM C
LLM A,LLM C,Human,0,138.200863900785,LLM A-LLM C
LLM A,LLM C,Human,0,32.10977743911003,LLM A-LLM C
LLM A,LLM C,Human,1,82.1998483318234,LLM A-LLM C
LLM A,LLM C,Human,1,59.81459300954345,LLM A-LLM C
LLM A,LLM C,Human,1,27.627931044872792,LLM A-LLM C
LLM A,LLM C,Human,0,88.75032631541544,LLM A-LLM C
LLM A,LLM C,Human,0,-13.568022815122418,LLM A-LLM C
LLM A,LLM C,Human,1,138.20369565253216,LLM A-LLM C
LLM A,LLM C,Human,0,60.02329571334781,LLM A-LLM C
LLM A,LLM C,Human,1,29.310000942213552,LLM A-LLM C
LLM A,LLM C,Human,0,-0.1834003307649823,LLM A-LLM C
LLM A,LLM C,Human,1,-0.764837311992693,LLM A-LLM C
LLM A,LLM C,Human,1,66.33741014065045,LLM A-LLM C
LLM A,LLM C,Human,0,87.4897301227428,LLM A-LLM C
LLM A,LLM C,Human,1,90.79074277260278,LLM A-LLM C
LLM A,LLM C,Human,1,87.06994644882357,LLM A-LLM C
LLM A,LLM C,Human,1,15.217801412336541,LLM A-LLM C
LLM A,LLM C,Human,1,38.44153163359039,LLM A-LLM C
LLM A,LLM C,Human,1,79.65574536541943,LLM A-LLM C
LLM A,LLM C,Human,1,6.106476166965834,LLM A-LLM C
LLM A,LLM C,Human,1,22.179934216201378,LLM A-LLM C
LLM A,LLM C,Human,1,72.7117609046132,LLM A-LLM C
LLM A,LLM C,Human,0,-51.04332555717522,LLM A-LLM C
LLM A,LLM C,Human,1,72.99498965592556,LLM A-LLM C
LLM A,LLM C,Human,0,85.41199003944712,LLM A-LLM C
LLM A,LLM C,Human,1,2.0688692280182153,LLM A-LLM C
LLM A,LLM C,Human,0,-12.161675108640246,LLM A-LLM C
LLM A,LLM C,Human,1,59.40606766215059,LLM A-LLM C
LLM A,LLM C,Human,0,43.238459847231844,LLM A-LLM C
LLM A,LLM C,Human,1,-15.384208346626608,LLM A-LLM C
LLM A,LLM C,Human,1,65.20533908490994,LLM A-LLM C
LLM A,LLM C,Human,1,57.270976853192096,LLM A-LLM C
LLM A,LLM C,Human,1,98.56577386510199,LLM A-LLM C
LLM A,LLM C,Human,1,76.39363151202573,LLM A-LLM C
LLM A,LLM C,Human,1,88.22880470911264,LLM A-LLM C
LLM A,LLM C,Human,1,-26.15970997923077,LLM A-LLM C
LLM A,LLM C,Human,1,-44.361221428821864,LLM A-LLM C
LLM A,LLM C,Human,0,71.11235548415328,LLM A-LLM C
LLM A,LLM C,Human,1,29.555286971930627,LLM A-LLM C
LLM A,LLM C,Human,1,105.67791515798373,LLM A-LLM C
LLM A,LLM C,Human,1,14.000054448666233,LLM A-LLM C
LLM A,LLM C,Human,0,26.177043079342038,LLM A-LLM C
LLM A,LLM C,Human,0,50.78273253909813,LLM A-LLM C
LLM A,LLM C,Human,1,41.032573223629015,LLM A-LLM C
LLM A,LLM C,Human,1,37.07680668789017,LLM A-LLM C
LLM A,LLM C,Human,0,32.40330828180309,LLM A-LLM C
LLM A,LLM C,Human,1,44.357528644697226,LLM A-LLM C
LLM A,LLM C,Human,1,35.76840216578439,LLM A-LLM C
LLM A,LLM C,Human,1,7.56355999178183,LLM A-LLM C
LLM A,LLM C,Human,1,-0.44085994917901417,LLM A-LLM C
LLM A,LLM C,Human,1,-8.75037106275198,LLM A-LLM C
LLM A,LLM C,Human,1,63.718876043065116,LLM A-LLM C
LLM A,LLM C,Human,0,41.71747239996093,LLM A-LLM C
LLM A,LLM C,Human,0,24.080185113820043,LLM A-LLM C
LLM A,LLM C,Human,1,114.10498027862084,LLM A-LLM C
LLM A,LLM C,Human,1,36.562636220033085,LLM A-LLM C
LLM A,LLM C,Human,1,33.83910227272229,LLM A-LLM C
LLM A,LLM C,Human,0,-0.5040968144050879,LLM A-LLM C
LLM A,LLM C,Human,1,62.88469246047495,LLM A-LLM C
LLM A,LLM C,Human,0,115.319815181394,LLM A-LLM C
LLM A,LLM C,Human,1,17.249895985036353,LLM A-LLM C
LLM A,LLM C,Human,0,37.98346643002702,LLM A-LLM C
LLM A,LLM C,Human,0,11.3294035541551,LLM A-LLM C
LLM A,LLM C,Human,1,110.59472572486536,LLM A-LLM C
LLM A,LLM C,Human,1,90.12728850580154,LLM A-LLM C
LLM A,LLM C,Human,1,27.198158002406338,LLM A-LLM C
LLM A,LLM C,Human,0,68.13093343030418,LLM A-LLM C
LLM A,LLM C,Human,0,52.73936600697532,LLM A-LLM C
LLM A,LLM C,Human,0,50.42305630407093,LLM A-LLM C
LLM A,LLM C,Human,0,67.20514703012614,LLM A-LLM C
LLM A,LLM C,Human,1,75.77126274117614,LLM A-LLM C
LLM A,LLM C,Human,1,49.83963858428399,LLM A-LLM C
LLM A,LLM C,Human,1,12.922278266166472,LLM A-LLM C
LLM A,LLM C,Human,1,-0.6244592913293872,LLM A-LLM C
LLM A,LLM C,Human,1,87.1020843182906,LLM A-LLM C
LLM A,LLM C,Human,0,83.12195349889325,LLM A-LLM C
LLM A,LLM C,Human,0,93.29244677421426,LLM A-LLM C
LLM A,LLM C,Human,1,28.258686731519006,LLM A-LLM C
LLM A,LLM C,Human,0,25.18464539981238,LLM A-LLM C
LLM A,LLM C,Human,1,83.50762779583901,LLM A-LLM C
LLM A,LLM C,Human,0,18.47141525824229,LLM A-LLM C
LLM A,LLM C,Human,0,30.374986682355114,LLM A-LLM C
LLM A,LLM C,Human,0,93.79315276086002,LLM A-LLM C
LLM A,LLM C,Human,1,64.22659261978802,LLM A-LLM C
LLM A,LLM C,Human,1,15.651958163727315,LLM A-LLM C
LLM A,LLM C,Human,1,44.61068519455844,LLM A-LLM C
LLM A,LLM C,Human,0,101.04080867882206,LLM A-LLM C
LLM A,LLM C,Human,1,62.41274140718667,LLM A-LLM C
LLM A,LLM C,Human,1,55.64502891907924,LLM A-LLM C
LLM A,LLM C,Human,0,29.952523746982138,LLM A-LLM C
LLM A,LLM C,Human,1,44.1721702029998,LLM A-LLM C
LLM A,LLM C,Human,1,40.25000521373002,LLM A-LLM C
LLM A,LLM C,Human,1,-32.80794123218135,LLM A-LLM C
LLM A,LLM C,Human,0,10.904058865333475,LLM A-LLM C
LLM A,LLM C,Human,1,60.309467729988384,LLM A-LLM C
LLM A,LLM C,Human,1,84.72234046352524,LLM A-LLM C
LLM A,LLM C,Human,1,66.65309342897204,LLM A-LLM C
LLM A,LLM C,Human,1,42.694741019619606,LLM A-LLM C
LLM A,LLM C,Human,0,80.29188962949446,LLM A-LLM C
LLM A,LLM C,Human,1,48.00798032784717,LLM A-LLM C
LLM A,LLM C,Human,0,37.08697384202978,LLM A-LLM C
LLM A,LLM C,Human,1,25.50479522004258,LLM A-LLM C
LLM A,LLM C,Human,1,73.28626498676394,LLM A-LLM C
LLM A,LLM C,Human,1,30.32102408733577,LLM A-LLM C
LLM A,LLM C,Human,1,124.35467359145467,LLM A-LLM C
LLM A,LLM C,Human,1,56.59008956390664,LLM A-LLM C
LLM A,LLM C,Human,0,68.23663306653255,LLM A-LLM C
LLM A,LLM C,Human,1,79.71160373691485,LLM A-LLM C
LLM A,LLM C,Human,1,49.48597841619516,LLM A-LLM C
LLM A,LLM C,Human,1,24.55570020821458,LLM A-LLM C
LLM A,LLM C,Human,1,61.62043232754925,LLM A-LLM C
LLM A,LLM C,Human,1,37.56382350754482,LLM A-LLM C
LLM A,LLM C,Human,0,80.1055442586667,LLM A-LLM C
LLM A,LLM C,Human,0,-4.845891062051528,LLM A-LLM C
LLM A,LLM C,Human,1,10.615067655684527,LLM A-LLM C
LLM A,LLM C,Human,1,56.81386028945436,LLM A-LLM C
LLM A,LLM C,Autograder,1,107.35223033006352,LLM A-LLM C
LLM A,LLM C,Autograder,0,47.61488848855343,LLM A-LLM C
LLM A,LLM C,Autograder,1,51.00567155285898,LLM A-LLM C
LLM A,LLM C,Autograder,1,68.30878807196574,LLM A-LLM C
LLM A,LLM C,Autograder,1,154.50783690969837,LLM A-LLM C
LLM A,LLM C,Autograder,1,117.80412860450971,LLM A-LLM C
LLM A,LLM C,Autograder,1,83.87331642191359,LLM A-LLM C
LLM A,LLM C,Autograder,1,59.91224144458272,LLM A-LLM C
LLM A,LLM C,Autograder,0,-9.275741115517341,LLM A-LLM C
LLM A,LLM C,Autograder,1,10.216410546278865,LLM A-LLM C
LLM A,LLM C,Autograder,0,-49.743413457918436,LLM A-LLM C
LLM A,LLM C,Autograder,1,44.022038118510075,LLM A-LLM C
LLM A,LLM C,Autograder,0,53.41878689348397,LLM A-LLM C
LLM A,LLM C,Autograder,0,3.437050215498374,LLM A-LLM C
LLM A,LLM C,Autograder,1,-0.6631916381959186,LLM A-LLM C
LLM A,LLM C,Autograder,0,25.702891890598583,LLM A-LLM C
LLM A,LLM C,Autograder,1,5.183108727367454,LLM A-LLM C
LLM A,LLM C,Autograder,1,35.023614612788606,LLM A-LLM C
LLM A,LLM C,Autograder,1,88.17578421001211,LLM A-LLM C
LLM A,LLM C,Autograder,1,6.934172554983149,LLM A-LLM C
LLM A,LLM C,Autograder,1,50.36948877819843,LLM A-LLM C
LLM A,LLM C,Autograder,1,38.02147042431422,LLM A-LLM C
